ID,label
000000026405,0
000000450050,0
000000226119,0
000000151885,0
000000084479,0
000000031358,0
000000007932,0
000000513690,0
000000156943,0
000000260395,0
000000132523,0
000000039705,0
000000169845,0
000000208728,0
000000380657,0
000000548878,0
000000108091,0
000000135576,0
000000078562,0
000000290521,0
000000562389,0
000000393288,0
000000174701,0
000000097967,0
000000376410,0
000000292177,0
000000306089,0
000000516732,0
000000236123,0
000000069270,0
000000443351,0
000000337038,0
000000490720,0
000000044960,0
000000099498,0
000000168909,0
000000473464,0
000000563275,0
000000364364,0
000000387598,0
000000553633,0
000000341061,0
000000156445,0
000000215719,0
000000379965,0
000000278661,0
000000260336,0
000000341341,0
000000281512,0
000000171443,0
000000059874,0
000000216314,0
000000322870,0
000000323664,0
000000556417,0
000000284426,0
000000222463,0
000000305055,0
000000101895,0
000000176918,0
000000456666,0
000000207554,0
000000441296,0
000000050790,0
000000211215,0
000000326947,0
000000137961,0
000000182300,0
000000134799,0
000000360399,0
000000297699,0
000000370986,0
000000508680,0
000000445950,0
000000442185,0
000000060720,0
000000252186,0
000000395293,0
000000241785,0
000000086452,0
000000458748,0
000000208589,0
000000214388,0
000000296821,0
000000412830,0
000000393907,0
000000065604,0
000000110371,0
000000457235,0
000000191758,0
000000525104,0
000000274793,0
000000425709,0
000000157502,0
000000125707,0
000000483517,0
000000377626,0
000000421064,0
000000219487,0
000000087058,0
000000308003,0
000000396574,0
000000255482,0
000000225738,0
000000365541,0
000000385505,0
000000119550,0
000000551175,0
000000518052,0
000000419371,0
000000290420,0
000000468241,0
000000564031,0
000000411968,0
000000095533,0
000000136993,0
000000345833,0
000000144904,0
000000410580,0
000000325380,0
000000484960,0
000000556597,0
000000296009,0
000000268855,0
000000230515,0
000000272718,0
000000391033,0
000000319494,0
000000279022,0
000000567789,0
000000168524,0
000000038122,0
000000139952,0
000000574790,0
000000290951,0
000000115590,0
000000182027,0
000000002280,0
000000407861,0
000000398623,0
000000264336,0
000000050791,0
000000518487,0
000000244782,0
000000305576,0
000000169514,0
000000367148,0
000000255258,0
000000002931,0
000000157958,0
000000098194,0
000000180682,0
000000070269,0
000000268599,0
000000542060,0
000000010496,0
000000056652,0
000000417946,0
000000272426,0
000000005471,0
000000215485,0
000000186344,0
000000452178,0
000000452013,0
000000188847,0
000000323813,0
000000084214,0
000000371134,0
000000381134,0
000000526801,0
000000178052,0
000000332943,0
